# Euromilhões data from each draw (top 3 prize count) - Bids per draw in PT
# Scraped from file 373.0 (oldest, Oct/2004) to 12994.0 (Oct/2023)
# Between the first file, 373.0 (Oct/2004), and 12994.0 (Oct/2023), over 1600+ draws happened
# Attention to files as 4630.0 (draw 2004/34), added after draw 373.0 (2004/35) and 2391.0 (2006/50)
# Since 2011-05-06 (draw 6721.0) Euromilhões has draws every Friday and Tuesday (before the date, only Fridays)
# Run using Python v3.10 with libraries: requests, BeautifulSoup
# Created by Fernando Abreu, at 2023-10-15 16:06:45 UTC
# Source of data: https://www.jogossantacasa.pt/web/SCCartazResult/euroMilhoes
draw_seq,draw_date,wins,bids
2008.027,2008-07-04,1,7561937
2008.028,2008-07-11,5,7546838
2008.029,2008-07-18,3,7380153
2008.030,2008-07-25,4,7429053
2008.031,2008-08-01,12,7933485
2008.032,2008-08-08,2,8237523
2008.033,2008-08-15,3,8369525
2008.034,2008-08-22,6,9555136
2008.035,2008-08-29,3,11180032
2008.036,2008-09-05,3,13412859
2008.037,2008-09-12,10,8553638
2008.038,2008-09-19,3,8346779
2008.039,2008-09-26,4,14476797
2008.040,2008-10-03,5,8632853
2008.041,2008-10-10,7,9072787
2008.042,2008-10-17,2,8368196
2008.043,2008-10-24,1,8585199
2008.044,2008-10-31,4,9442441
2008.045,2008-11-07,8,8326683
2008.046,2008-11-14,9,8212326
2008.047,2008-11-21,11,8272816
2008.048,2008-11-28,2,8610995
2008.049,2008-12-05,13,8208401
2008.050,2008-12-12,2,8375288
2008.051,2008-12-19,4,8559500
2008.052,2008-12-26,3,8419270
2009.001,2009-01-02,2,9798267
2009.002,2009-01-09,2,10843731
2009.003,2009-01-16,2,8515146
2009.004,2009-01-23,1,8254589
2009.005,2009-01-30,1,8614748
2009.006,2009-02-06,12,8129528
2009.007,2009-02-13,2,8943093
2009.008,2009-02-20,1,8774708
2009.009,2009-02-27,3,9406423
2009.010,2009-03-06,22,16019835
2009.011,2009-03-13,7,9399921
2009.012,2009-03-20,5,9092751
2009.013,2009-03-27,2,8304314
2009.014,2009-04-03,5,8759878
2009.015,2009-04-10,1,9392132
2009.016,2009-04-17,4,10476753
2009.017,2009-04-24,9,11329206
2009.018,2009-05-01,2,12676329
2009.019,2009-05-08,12,14514370
2009.020,2009-05-15,3,8914969
2009.021,2009-05-22,1,8580054
2009.022,2009-05-29,2,8790526
2009.023,2009-06-05,4,9357023
2009.024,2009-06-12,3,9283964
2009.025,2009-06-19,3,8176674
2009.026,2009-06-26,6,8156864
2009.027,2009-07-03,1,8660025
2009.028,2009-07-10,2,8858660
2009.029,2009-07-17,7,9209015
2009.030,2009-07-24,0,8106158
2009.031,2009-07-31,11,8629657
2009.032,2009-08-07,7,9041890
2009.033,2009-08-14,1,9399413
2009.034,2009-08-21,4,11018373
2009.035,2009-08-28,0,8468954
2009.036,2009-09-04,2,8576318
2009.037,2009-09-11,3,8981416
2009.038,2009-09-18,2,11719647
2009.039,2009-09-25,3,8335825
2009.040,2009-10-02,2,8263984
2009.041,2009-10-09,3,8349094
2009.042,2009-10-16,1,8560521
2009.043,2009-10-23,10,9099683
2009.044,2009-10-30,1,9954603
2009.045,2009-11-06,2,11643510
2009.046,2009-11-13,1,8879228
2009.047,2009-11-20,5,8291611
2009.048,2009-11-27,6,8198547
2009.049,2009-12-04,3,8506841
2009.050,2009-12-11,2,8967831
2009.051,2009-12-18,0,9433642
2009.052,2009-12-25,1,7406231
